Sample,vglut2-: vgat+ Cell Density (cells/mm^2),vglut2-: vgat+ Cell Count,vglut2-: vgat+ Cell Area (mm^2),vglut2-: vgat+ Cell Percentage,vglut2-: vgat+ Intensity,vglut2+: vgat- Cell Density (cells/mm^2),vglut2+: vgat- Cell Count,vglut2+: vgat- Cell Area (mm^2),vglut2+: vgat- Cell Percentage,vglut2+: vgat- Intensity,Double Positive Cell Density (cells/mm^2),Double Positive Cell Count,Double Positive Cell Area (mm^2),Double Positive Cell Percentage,Total Cell Area (mm^2),Total Annotation Area (mm^2)
2024_06_25__RecognizedCode-17.czi - Scene _3.csv,4340.768419747303,295,0.067261109,,619.4537966101694,44.143407658447146,3,0.0006992084999999999,,255.36446666666666,0.0,0,0,,0.0679603175,0.4423635
2023_06_23__RecognizedCode-2.czi - Scene _2.csv,4088.9834238970216,937,0.21864280679999998,,716.674647171825,152.7368408072527,35,0.009574978800000002,,479.6942371428572,13.091729212050229,3,0.0009345251000000001,,0.22915231069999997,0.8206131
2024_06_25__RecognizedCode-17.czi - Scene _4.csv,4343.217530307703,300,0.0687899518,,751.534318,28.95478353538469,2,0.0002832636,,227.4289,0.0,0,0,,0.0690732154,0.4544136
2023_06_23__RecognizedCode-2.czi - Scene _3.csv,4077.221771765355,595,0.14083033,,714.4909309243698,109.63957705587508,16,0.004361254,,392.23991875,20.55742069797658,3,0.0007411205,,0.1459327045,0.553944
2024_06_25__RecognizedCode-17.czi - Scene _2.csv,3830.259650343151,145,0.0352896039,,856.7505427586208,290.5714217501701,11,0.0025668375,,259.1269454545455,0.0,0,0,,0.0378564414,0.24185
2024_06_25__RecognizedCode-19.czi - Scene _1.csv,3518.843268246646,96,0.027281692499999996,,501.68644166666667,0.0,0,0,,,0.0,0,0,,0.027281692499999996,0.3829497
2023_06_23__RecognizedCode-2.czi - Scene _4.csv,3895.5851922999213,414,0.09440287080000001,,727.6921026570049,432.84279914443573,46,0.010930706900000002,,366.0448956521739,28.228878205071894,3,0.000940571,,0.10627414870000002,0.4767667
2024_06_25__RecognizedCode-15.czi - Scene _1.csv,3702.7812584792164,319,0.08595867780000001,,960.8653539184953,11.607464760122935,1,0.0001927791,,172.2815,0.0,0,0,,0.0861514569,0.39524010000000004
2024_06_25__RecognizedCode-13.czi - Scene _3.csv,4029.222445606746,196,0.048644621299999996,,467.7180693877551,0.0,0,0,,,0.0,0,0,,0.048644621299999996,0.7747094
2023_05_23__C1595b_scan2.czi - Scene _1.csv,3549.8555318675003,21,0.005915733700000001,,400.9911619047619,0.0,0,0,,,0.0,0,0,,0.005915733700000001,0.247246
2024_06_25__RecognizedCode-13.czi - Scene _2.csv,3989.951191550503,96,0.0237442692,,521.510965625,41.561991578651075,1,0.0003161755,,230.5364,0.0,0,0,,0.024060444700000003,0.7010550999999999
2024_06_25__RecognizedCode-13.czi - Scene _0.csv,4005.5431016665293,461,0.11204847460000002,,641.5701121475054,104.26576403470358,12,0.0030420358,,239.33148333333335,0.0,0,0,,0.11509051040000001,0.9780783000000001
2024_06_25__RecognizedCode-15.czi - Scene _2.csv,4035.310228900081,360,0.0889948223,,982.1633838888888,11.209195080278002,1,0.0002176495,,221.4737,0.0,0,0,,0.0892124718,0.37658590000000003
2023_05_23__C1595b_scan2.czi - Scene _5.csv,2852.361140120782,130,0.037335244700000006,,512.7398207692308,570.4722280241563,26,0.008241031800000001,,969.95155,0.0,0,0,,0.045576276500000006,0.8179964000000001
2023_05_23__C1595b_scan2.czi - Scene _2.csv,2893.733994316435,32,0.0099649644,,556.53296875,90.4291873223886,1,0.0010934121,,1328.1168,0.0,0,0,,0.0110583765,0.4731012
2024_06_25__RecognizedCode-15.czi - Scene _5.csv,3934.4982575691056,431,0.1080895581,,806.9142791183293,45.64383129430517,5,0.0014542698,,325.34688,0.0,0,0,,0.1095438279,0.5064184
2024_06_25__RecognizedCode-15.czi - Scene _4.csv,4194.509439883586,509,0.11958049779999999,,800.3960013752455,65.92549217891688,8,0.0017686152,,311.9798,0.0,0,0,,0.121349113,0.6313321999999999
2023_05_23__C1595b_scan2.czi - Scene _3.csv,3109.8845114817277,61,0.018844311599999997,,496.17982786885256,101.96342660595829,2,0.00046403840000000003,,1679.88755,50.981713302979145,1,0.0003065263,,0.019614876299999993,0.42242009999999997
2023_05_23__C1595b_scan2.czi - Scene _4.csv,3171.555311813046,27,0.008513173300000001,,411.7722037037037,0.0,0,0,,,0.0,0,0,,0.008513173300000001,0.340359
2024_06_25__RecognizedCode-15.czi - Scene _3.csv,3936.7370240570813,349,0.0877763259,,834.5049191977077,33.84014633859955,3,0.0008757729999999999,,192.58,0.0,0,0,,0.08865209889999999,0.5441385
2024_06_25__RecognizedCode-13.czi - Scene _1.csv,4007.3456235904146,781,0.18901505320000003,,617.9553492957747,118.01401964478814,23,0.005877045800000001,,252.5445956521739,0.0,0,0,,0.19489209900000004,1.337331
